iter	RMSE
0	3652.530277
1	3586.230726
2	3520.206712
3	3454.741032
4	3389.823217
5	3326.957091
6	3265.196285
7	3205.56123
8	3146.621133
9	3088.386806
10	3032.220646
11	2977.159976
12	2922.907422
13	2869.05489
14	2816.804161
15	2765.623365
16	2715.842205
17	2666.584294
18	2617.937901
19	2570.513881
20	2523.761565
21	2478.38029
22	2433.653544
23	2389.86512
24	2346.836573
25	2305.28723
26	2263.351889
27	2222.660601
28	2183.945298
29	2144.614137
30	2106.374449
31	2068.780645
32	2032.693076
33	1997.127038
34	1961.885904
35	1926.292386
36	1893.052763
37	1859.472311
38	1827.343118
39	1795.534444
40	1764.28536
41	1733.961369
42	1702.841698
43	1673.617786
44	1643.608595
45	1613.676009
46	1586.327175
47	1559.509481
48	1531.460193
49	1505.120466
50	1479.177121
51	1453.377248
52	1428.584701
53	1403.126158
54	1379.837511
55	1356.81569
56	1334.023252
57	1312.100619
58	1288.787385
59	1265.929682
60	1245.094217
61	1224.162336
62	1203.189044
63	1182.59373
64	1162.815165
65	1142.635681
66	1123.228503
67	1104.144373
68	1086.28317
69	1068.607167
70	1049.651916
71	1033.147341
72	1015.951403
73	999.6371406
74	983.784321
75	967.367685
76	950.8888167
77	936.0688093
78	920.2844119
79	905.3146686
80	889.7373271
81	874.9975785
82	860.9479226
83	846.6229555
84	833.5347706
85	820.0964252
86	806.8447685
87	793.545555
88	780.658059
89	767.564813
90	754.6855326
91	742.1357052
92	729.7076019
93	717.5039529
94	705.6947807
95	694.4446935
96	683.3216793
97	672.9733088
98	662.4479602
99	652.5785229
100	642.3971597
101	632.9528335
102	623.1558656
103	613.0839371
104	603.3508431
105	594.1018638
106	584.9270603
107	575.8108916
108	567.0749169
109	559.0005944
110	550.6619647
111	542.3164543
112	534.9752422
113	527.8228949
114	519.7468133
115	512.1774403
116	505.4986756
117	498.2644649
118	491.0821948
119	483.8078829
120	476.8389616
121	470.4191051
122	463.9133617
123	457.082455
124	450.7634859
125	444.1528578
126	437.5895935
127	431.6657299
128	425.5821509
129	419.6474235
130	413.8099343
131	408.2941214
132	402.4785731
133	397.139698
134	392.1249148
135	387.0239278
136	381.9498661
137	377.0318022
138	372.3063122
139	367.6225409
140	363.0020101
141	358.7240031
142	354.6107701
143	350.0396881
144	345.6793084
145	341.4501076
146	337.1183932
147	332.9458963
148	329.0077098
