iter	Passed	Remaining
0	7	14059
1	13	13202
2	19	12950
3	25	12616
4	30	12368
5	37	12411
6	43	12360
7	48	12147
8	54	12075
9	59	11922
10	65	11769
11	71	11866
12	76	11758
13	82	11637
14	87	11597
15	92	11484
16	97	11369
17	103	11430
18	109	11422
19	114	11377
20	120	11371
21	125	11312
22	131	11282
23	136	11270
24	142	11227
25	146	11159
26	153	11183
27	158	11132
28	163	11090
29	169	11126
30	174	11089
31	179	11052
32	186	11099
33	191	11067
34	196	11045
35	202	11066
36	208	11053
37	213	11034
38	221	11143
39	227	11125
40	232	11125
41	238	11106
42	242	11056
43	248	11063
44	253	11031
45	258	10995
46	264	11001
47	269	10977
48	275	10950
49	280	10933
50	286	10955
51	291	10921
52	296	10907
53	302	10886
54	307	10861
55	312	10847
56	319	10888
57	325	10894
58	331	10889
59	336	10876
60	342	10873
61	348	10880
62	353	10863
63	358	10849
64	365	10868
65	370	10867
66	376	10859
67	382	10867
68	388	10862
69	393	10860
70	399	10849
71	404	10840
72	410	10835
73	416	10835
74	421	10821
75	427	10809
76	433	10819
77	443	10918
78	453	11031
79	464	11159
80	474	11242
81	484	11339
82	494	11429
83	504	11510
84	514	11593
85	523	11661
86	533	11730
87	542	11796
88	551	11848
89	561	11919
90	570	11968
91	580	12049
92	590	12101
93	599	12154
94	609	12218
95	618	12272
96	629	12345
97	638	12385
98	648	12445
99	657	12493
100	666	12533
101	676	12595
102	686	12638
103	696	12698
104	706	12745
105	717	12820
106	727	12871
107	738	12932
108	749	12999
109	760	13062
110	770	13113
111	780	13156
112	791	13213
113	801	13258
114	810	13279
115	819	13315
116	831	13377
117	843	13446
118	854	13500
119	863	13531
120	873	13571
121	883	13596
122	892	13614
123	901	13642
124	910	13664
125	922	13721
126	932	13752
127	941	13771
128	951	13797
129	961	13827
130	972	13876
131	983	13911
132	993	13950
133	1004	13984
134	1014	14011
135	1024	14042
136	1034	14071
137	1045	14100
138	1055	14133
139	1065	14153
140	1075	14173
141	1086	14216
142	1097	14249
143	1107	14277
144	1118	14313
145	1129	14340
146	1139	14366
147	1151	14411
148	1163	14448
149	1173	14467
150	1184	14504
151	1195	14535
152	1205	14555
153	1218	14603
154	1230	14648
155	1239	14655
156	1250	14682
157	1260	14689
158	1271	14717
159	1281	14732
160	1290	14739
161	1302	14778
162	1313	14804
163	1323	14819
164	1334	14838
165	1344	14858
166	1354	14871
167	1365	14887
168	1375	14897
169	1384	14907
170	1395	14926
171	1405	14941
172	1415	14949
173	1426	14966
174	1436	14977
175	1446	14993
176	1456	15005
177	1466	15015
178	1477	15028
179	1487	15035
180	1496	15037
181	1501	15003
